address;is_alarm;floor_count_max;floor_count_min;entrance_count;quarters_count;living_quarters_count;unliving_quarters_count;area_total;area_residential;area_non_residential;area_common_property;area_land;basement_area
обл. Оренбургская, г. Оренбург, ул. Одесская, д. 136;Нет;1;1;0;2;2;0;106,2;106,2;0;0;1115;0
обл. Оренбургская, г. Оренбург, ул. Одесская, д. 138;Нет;1;1;0;2;2;0;106,9;106,9;0;0;1100;0
обл. Оренбургская, г. Оренбург, пер. Озерный, д. 10, стр. АА1;Нет;2;;;3;;;252,3;87,7;0;;;
обл. Оренбургская, г. Оренбург, ул. Орджоникидзе, д. 7, стр. литер А1;Нет;1;1;1;1;1;0;19,6;19,6;0;0;1204;0
обл. Оренбургская, г. Оренбург, ул. Орджоникидзе, д. 20, стр. литер ВВ1;Нет;1;1;1;1;1;0;59,8;59,8;0;0;1880;0
обл. Оренбургская, г. Оренбург, ул. Орджоникидзе, д. 20, стр. литер ДД1Д2Д3;Нет;1;1;1;1;1;0;69,7;69,7;0;0;1880;0
обл. Оренбургская, г. Оренбург, ул. Орджоникидзе, д. 94, стр. литер А1;Нет;2;1;1;1;1;0;31,3;31,3;0;0;0;0
обл. Оренбургская, г. Оренбург, ул. Орджоникидзе, д. 143, стр. литер Б;Нет;1;1;1;1;1;0;47,2;47,2;0;0;518;0
обл. Оренбургская, г. Оренбург, ул. Орджоникидзе, д. 239 кв.2 литАА1;Нет;1;;;1;;;37,4;37,4;;;;
обл. Оренбургская, г. Оренбург, ул. Оренбургская, д. 154;Нет;2;;1;1;;;89,7;68,4;;;;
обл. Оренбургская, г. Оренбург, ул. Орлова, д. 31, стр. литер А1А3;Нет;1;1;1;1;1;0;30,1;30,1;0;0;888;0
обл. Оренбургская, г. Оренбург, ул. Орлова, д. 40, стр. литер Б;Нет;1;1;1;1;1;0;65,2;65,2;0;0;945;0
обл. Оренбургская, г. Оренбург, ул. Островского, д. 16 Литер А;Нет;1;;1;1;;;56,5;46,5;;;;
обл. Оренбургская, г. Оренбург, ул. Островского, д. 49 литер А;Нет;1;;1;1;;;51,1;34;;;;
обл. Оренбургская, г. Оренбург, ул. Парижской Коммуны, д. 59;Нет;1;1;1;1;1;0;78,8;78,8;0;0;514,5;0
обл. Оренбургская, г. Оренбург, ул. Пионерская, д. 12, стр. литер ББ1;Нет;1;1;1;1;1;0;35,4;35,4;0;0;571;0
обл. Оренбургская, г. Оренбург, ул. Пойменная, д. 41;Нет;1;1;0;5;5;0;178,8;178,8;0;0;1044;0
обл. Оренбургская, г. Оренбург, ул. Пойменная, д. 45;Нет;1;1;0;5;5;0;202,2;202,2;0;0;927;0
обл. Оренбургская, г. Оренбург, ул. Пойменная, д. 47;Нет;1;1;0;5;5;0;149,1;149,1;0;0;0;0
обл. Оренбургская, г. Оренбург, ул. Пойменная, д. 52;Нет;1;1;0;5;5;0;151,2;151,2;0;0;780;0
обл. Оренбургская, г. Оренбург, ул. Пойменная, д. 56;Нет;1;1;0;5;5;0;163,8;163,8;0;0;1017;0
обл. Оренбургская, г. Оренбург, ул. Пойменная, д. 64;Нет;1;1;0;4;4;0;186,2;186,2;0;0;1095;0
обл. Оренбургская, г. Оренбург, ул. Пойменная, д. 70;Нет;1;1;2;5;5;0;211,4;211,4;0;0;954;0
обл. Оренбургская, г. Оренбург, ул. Пойменная, д. 91;Нет;2;2;2;12;12;0;544,9;502,8;0;42,1;1413,5;0
